temperature,humidity,light,water_level,gas,target
18.350,40.550,26.250,69.250,4.120,28.649
18.700,41.100,27.500,68.500,4.240,28.898
19.050,41.650,28.750,67.750,4.360,29.147
19.400,42.200,30.000,67.000,4.480,29.396
19.750,42.750,31.250,66.250,4.600,29.645
20.100,43.300,32.500,65.500,4.720,29.894
20.450,43.850,33.750,64.750,4.840,30.143
20.800,44.400,35.000,64.000,4.960,30.392
21.150,44.950,36.250,63.250,5.080,30.641
21.500,45.500,37.500,62.500,5.200,30.890
21.850,46.050,38.750,61.750,5.320,31.139
22.200,46.600,40.000,61.000,5.440,31.388
22.550,47.150,41.250,60.250,5.560,31.637
22.900,47.700,42.500,59.500,5.680,31.886
23.250,48.250,43.750,58.750,5.800,32.135
23.600,48.800,45.000,58.000,5.920,32.384
23.950,49.350,46.250,57.250,6.040,32.633
24.300,49.900,47.500,56.500,6.160,32.882
24.650,50.450,48.750,55.750,6.280,33.131
25.000,51.000,50.000,55.000,6.400,33.380
25.350,51.550,51.250,54.250,6.520,33.629
25.700,52.100,52.500,53.500,6.640,33.878
26.050,52.650,53.750,52.750,6.760,34.127
26.400,53.200,55.000,52.000,6.880,34.376
26.750,53.750,56.250,51.250,7.000,34.625
27.100,54.300,57.500,50.500,7.120,34.874
27.450,54.850,58.750,49.750,7.240,35.123
27.800,55.400,60.000,49.000,7.360,35.372
28.150,55.950,61.250,48.250,7.480,35.621
28.500,56.500,62.500,47.500,7.600,35.870
28.850,57.050,63.750,46.750,7.720,36.119
29.200,57.600,65.000,46.000,7.840,36.368
29.550,58.150,66.250,45.250,7.960,36.617
29.900,58.700,67.500,44.500,8.080,36.866
30.250,59.250,68.750,43.750,8.200,37.115
30.600,59.800,70.000,43.000,8.320,37.364
30.950,60.350,71.250,42.250,8.440,37.613
31.300,60.900,72.500,41.500,8.560,37.862
31.650,61.450,73.750,40.750,8.680,38.111
32.000,62.000,75.000,40.000,8.800,38.360
